dataset,n,partitioner,method,block_formula,block_size,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
california,10000,pyramid_hart,variance_ordered,log,752.0,0.73869,0.447,0.78279,0.557,-0.0441,0.8
california,10000,pyramid_hart,variance_ordered,tenth,1000.0,0.74776,0.547,0.78279,0.557,-0.03503,0.98
california,10000,pyramid_hart,variance_ordered,fifth,2000.0,0.75474,0.923,0.78279,0.557,-0.02805,1.66
california,10000,pyramid_hart,variance_ordered,none,,0.75717,1.586,0.78279,0.557,-0.02562,2.84
california,10000,hvrt,variance_ordered,current,600.0,0.73793,0.433,0.78279,0.557,-0.04486,0.78
california,10000,hvrt,variance_ordered,sqrt,1000.0,0.74697,0.565,0.78279,0.557,-0.03582,1.01
california,10000,hvrt,variance_ordered,log,752.0,0.73854,0.495,0.78279,0.557,-0.04425,0.89
california,10000,hvrt,variance_ordered,tenth,1000.0,0.74697,0.556,0.78279,0.557,-0.03582,1.0
california,10000,hvrt,variance_ordered,fifth,2000.0,0.75601,0.874,0.78279,0.557,-0.02678,1.57
california,10000,hvrt,variance_ordered,none,,0.75797,1.626,0.78279,0.557,-0.02482,2.92
california,20000,pyramid_hart,variance_ordered,current,800.0,0.74062,0.629,0.78407,0.714,-0.04345,0.88
california,20000,pyramid_hart,variance_ordered,sqrt,1414.0,0.74977,0.855,0.78407,0.714,-0.03431,1.2
california,20000,pyramid_hart,variance_ordered,log,1399.0,0.74732,0.892,0.78407,0.714,-0.03675,1.25
california,20000,pyramid_hart,variance_ordered,tenth,2000.0,0.7515,1.065,0.78407,0.714,-0.03257,1.49
california,20000,pyramid_hart,variance_ordered,fifth,4000.0,0.75531,1.726,0.78407,0.714,-0.02876,2.42
california,20000,pyramid_hart,variance_ordered,none,,0.7569,3.164,0.78407,0.714,-0.02717,4.43
california,20000,hvrt,variance_ordered,current,800.0,0.74037,0.58,0.78407,0.714,-0.0437,0.81
california,20000,hvrt,variance_ordered,sqrt,1414.0,0.74791,0.834,0.78407,0.714,-0.03616,1.17
california,20000,hvrt,variance_ordered,log,1399.0,0.74782,0.791,0.78407,0.714,-0.03626,1.11
