dataset,n,refit_interval,coeff,block_size,coverage,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
friedman1,100000,100,15,4743,0.237,0.91922,2.789,0.93401,1.045,-0.01479,2.67
friedman1,100000,100,25,7905,0.395,0.91947,3.185,0.93401,1.045,-0.01454,3.05
friedman1,100000,100,40,12649,0.632,0.91836,4.158,0.93401,1.045,-0.01565,3.98
friedman1,100000,200,10,3162,0.063,0.91804,2.064,0.93401,1.045,-0.01596,1.98
friedman1,100000,200,15,4743,0.095,0.91748,2.177,0.93401,1.045,-0.01653,2.08
friedman1,100000,200,25,7905,0.158,0.92088,2.641,0.93401,1.045,-0.01313,2.53
friedman1,100000,200,40,12649,0.253,0.91659,3.4,0.93401,1.045,-0.01741,3.25
linreg_20d,20000,25,10,2000,1.0,0.91617,1.884,0.89928,0.787,0.01689,2.4
linreg_20d,20000,25,15,2121,1.0,0.9154,2.288,0.89928,0.787,0.01612,2.91
linreg_20d,20000,25,25,3535,1.0,0.91123,3.685,0.89928,0.787,0.01195,4.69
linreg_20d,20000,25,40,5656,1.0,0.90861,5.202,0.89928,0.787,0.00932,6.61
linreg_20d,20000,50,10,2000,1.0,0.91377,1.248,0.89928,0.787,0.01449,1.59
linreg_20d,20000,50,15,2121,1.0,0.91356,1.376,0.89928,0.787,0.01428,1.75
linreg_20d,20000,50,25,3535,1.0,0.91058,1.9,0.89928,0.787,0.0113,2.42
linreg_20d,20000,50,40,5656,1.0,0.90699,2.844,0.89928,0.787,0.00771,3.62
linreg_20d,20000,100,10,2000,0.5,0.9122,0.747,0.89928,0.787,0.01292,0.95
linreg_20d,20000,100,15,2121,0.53,0.91078,0.982,0.89928,0.787,0.0115,1.25
linreg_20d,20000,100,25,3535,0.884,0.90871,1.424,0.89928,0.787,0.00943,1.81
linreg_20d,20000,100,40,5656,1.0,0.90701,1.822,0.89928,0.787,0.00773,2.32
linreg_20d,20000,200,10,2000,0.2,0.90478,0.644,0.89928,0.787,0.0055,0.82
linreg_20d,20000,200,15,2121,0.212,0.90487,0.844,0.89928,0.787,0.00559,1.07
linreg_20d,20000,200,25,3535,0.353,0.90514,1.014,0.89928,0.787,0.00586,1.29
linreg_20d,20000,200,40,5656,0.566,0.90428,1.708,0.89928,0.787,0.005,2.17
linreg_20d,50000,25,10,2236,0.894,0.91238,3.572,0.89788,1.086,0.0145,3.29
linreg_20d,50000,25,15,3354,1.0,0.90962,3.453,0.89788,1.086,0.01174,3.18
linreg_20d,50000,25,25,5590,1.0,0.90627,5.106,0.89788,1.086,0.00839,4.7
linreg_20d,50000,25,40,8944,1.0,0.90269,7.47,0.89788,1.086,0.00482,6.88
linreg_20d,50000,50,10,2236,0.447,0.91114,1.653,0.89788,1.086,0.01326,1.52
linreg_20d,50000,50,15,3354,0.671,0.90793,2.119,0.89788,1.086,0.01006,1.95
linreg_20d,50000,50,25,5590,1.0,0.90525,3.018,0.89788,1.086,0.00737,2.78
linreg_20d,50000,50,40,8944,1.0,0.90209,4.739,0.89788,1.086,0.00421,4.36
linreg_20d,50000,100,10,2236,0.224,0.90575,1.526,0.89788,1.086,0.00787,1.41
linreg_20d,50000,100,15,3354,0.335,0.90483,1.69,0.89788,1.086,0.00695,1.56
linreg_20d,50000,100,25,5590,0.559,0.90351,2.44,0.89788,1.086,0.00564,2.25
linreg_20d,50000,100,40,8944,0.894,0.90002,3.6,0.89788,1.086,0.00214,3.32
linreg_20d,50000,200,10,2236,0.089,0.89702,1.342,0.89788,1.086,-0.00085,1.24
linreg_20d,50000,200,15,3354,0.134,0.89914,1.552,0.89788,1.086,0.00126,1.43
linreg_20d,50000,200,25,5590,0.224,0.90007,2.002,0.89788,1.086,0.00219,1.84
linreg_20d,50000,200,40,8944,0.358,0.89876,2.778,0.89788,1.086,0.00089,2.56
linreg_20d,100000,25,10,3162,0.632,0.9089,4.769,0.898,1.525,0.0109,3.13
linreg_20d,100000,25,15,4743,0.949,0.90639,5.645,0.898,1.525,0.00838,3.7
linreg_20d,100000,25,25,7905,1.0,0.90248,8.6,0.898,1.525,0.00447,5.64
linreg_20d,100000,25,40,12649,1.0,0.90037,12.65,0.898,1.525,0.00236,8.29
linreg_20d,100000,50,10,3162,0.316,0.90762,3.433,0.898,1.525,0.00961,2.25
linreg_20d,100000,50,15,4743,0.474,0.90574,4.311,0.898,1.525,0.00774,2.83
linreg_20d,100000,50,25,7905,0.79,0.90174,5.795,0.898,1.525,0.00374,3.8
linreg_20d,100000,50,40,12649,1.0,0.89926,8.322,0.898,1.525,0.00126,5.46
linreg_20d,100000,100,10,3162,0.158,0.90396,2.615,0.898,1.525,0.00596,1.71
